input_template_name:,policy.targets_footprint,input_template_version:,0.11,Notes:,20221116_yoy_a_to2032_C_b50_74_m0p35_T_b50_83_m1p38,,,
reg_class_id,start_year,fp_min,fp_max,a_coeff,b_coeff,c_coeff,d_coeff,lifetime_vmt
car,2020,41,56,166,226,4.01,1.9,195264
car,2021,41,56,161.8,220.9,3.94,0.2,195264
car,2022,41,56,159,217.3,3.88,-0.1,195264
car,2023,41,56,145.6,199.1,3.56,-0.4,195264
car,2024,41,56,138.6,189.5,3.39,-0.4,195264
car,2025,41,56,130.5,179.4,3.26,-3.2,195264
car,2026,41,56,114.3,160.9,3.11,-13.1,195264
car,2027,42,56,130.9,139.8,0.64,104,195264
car,2028,43,56,114.1,121.3,0.56,90.2,195264
car,2029,44,56,96.9,102.5,0.47,76.3,195264
car,2030,45,56,89.5,94.2,0.43,70.1,195264
car,2031,45,56,81.2,85.5,0.39,63.6,195264
car,2032,45,56,71.8,75.6,0.35,56.2,195264
truck,2020,41,68.3,212,337,4.57,24.6,225865
truck,2021,41,68.3,206.5,329.4,4.51,21.5,225865
truck,2022,41,68.3,203,324.1,4.44,20.6,225865
truck,2023,41,74,181.1,312.1,3.97,18.4,225865
truck,2024,41,74,172.1,296.5,3.77,17.4,225865
truck,2025,41,74,159.3,277.4,3.58,12.5,225865
truck,2026,41,74,141.8,254.4,3.41,1.9,225865
truck,2027,42,73,133,212.3,2.56,25.6,225865
truck,2028,43,72,117.5,181.7,2.22,22.2,225865
truck,2029,44,71,101,151.5,1.87,18.7,225865
truck,2030,45,70,94.4,137.3,1.72,17.2,225865
truck,2031,45,70,85.6,124.5,1.56,15.6,225865
truck,2032,45,70,75.7,110.1,1.38,13.8,225865
