input_template_name:,policy.targets_footprint,input_template_version:,0.11,Notes:,"Alt 3 through 2030, ramp to Alt 2 2030-2032",,,,
reg_class_id,start_year,fp_min,fp_max,a_coeff,b_coeff,c_coeff,d_coeff,lifetime_vmt,
car,2020,41,56,166,226,4.01,1.9,195264,
car,2021,41,56,161.8,220.9,3.94,0.2,195264,
car,2022,41,56,159,217.3,3.88,-0.1,195264,
car,2023,41,56,145.6,199.1,3.56,-0.4,195264,
car,2024,41,56,138.6,189.5,3.39,-0.4,195264,
car,2025,41,56,130.5,179.4,3.26,-3.2,195264,
car,2026,41,56,114.3,160.9,3.11,-13.1,195264,
car,2027,42,56,135.9,145.2,0.66,108,195264,
car,2028,43,56,123.8,131.6,0.6,97.9,195264,
car,2029,44,56,110.6,117,0.54,87,195264,
car,2030,45,56,98.2,103.4,0.47,76.9,195264,
car,2031,45,56,89.9,94.6,0.43,70.4,195264,
car,2032,45,56,81.5,85.9,0.39,63.9,195264,
truck,2020,41,68.3,212,337,4.57,24.6,225865,
truck,2021,41,68.3,206.5,329.4,4.51,21.5,225865,
truck,2022,41,68.3,203,324.1,4.44,20.6,225865,
truck,2023,41,74,181.1,312.1,3.97,18.4,225865,
truck,2024,41,74,172.1,296.5,3.77,17.4,225865,
truck,2025,41,74,159.3,277.4,3.58,12.5,225865,
truck,2026,41,74,141.8,254.4,3.41,1.9,225865,
truck,2027,42,73,150.3,239.9,2.89,28.9,225865,
truck,2028,43,72,136.8,211.7,2.58,25.8,225865,
truck,2029,44,71,122.7,184,2.27,22.7,225865,
truck,2030,45,70,108.8,158.3,1.98,19.8,225865,
truck,2031,45,70,96.8,140.8,1.76,17.6,225865,
truck,2032,45,70,84.8,123.4,1.54,15.4,225865,
