input_template_name:,policy.offcycle_credits,input_template_version:,0.11,description:,20231106 same as 20231103 except moved 15 gpm oc cap for start to 2023 and update bev ss and oc credits,,,,
start_year,credit_name,credit_group,credit_destination,fueling_class_reg_class_id:ICE.car,fueling_class_reg_class_id:ICE.truck,fueling_class_reg_class_id:BEV.car,fueling_class_reg_class_id:BEV.truck,fueling_class_reg_class_id:PHEV.car,fueling_class_reg_class_id:PHEV.truck
2020,start_stop,menu,cert_direct_offcycle_co2e_grams_per_mile,2.5,4.4,0,0,2.5,4.4
2020,other_oc_menu_tech,menu,cert_direct_offcycle_co2e_grams_per_mile,7.5,5.6,5.3,7,7.5,5.6
2020,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,13.8,17.2,13.8,17.2,13.8,17.2
2020,ac_efficiency,ac,cert_direct_offcycle_co2e_grams_per_mile,5,7.2,5,7.2,5,7.2
2023,start_stop,menu,cert_direct_offcycle_co2e_grams_per_mile,2.5,4.4,0,0,2.5,4.4
2023,other_oc_menu_tech,menu,cert_direct_offcycle_co2e_grams_per_mile,12.5,10.6,5.3,7,12.5,10.6
2027,start_stop,menu,cert_direct_offcycle_co2e_grams_per_mile,2.5,4.4,0,0,2.5,4.4
2027,other_oc_menu_tech,menu,cert_direct_offcycle_co2e_grams_per_mile,7.5,5.6,5.3,7,7.5,5.6
2027,ac_efficiency,ac,cert_direct_offcycle_co2e_grams_per_mile,5,7.2,0,0,5,7.2
2027,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,11,13.8,11,13.8,11,13.8
2028,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,8.3,10.3,8.3,10.3,8.3,10.3
2029,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,5.5,6.9,5.5,6.9,5.5,6.9
2030,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,2.8,3.4,2.8,3.4,2.8,3.4
2031,ac_leakage,ac,cert_indirect_offcycle_co2e_grams_per_mile,1.6,2,1.6,2,1.6,2
