,new_vehicle_price_dollars
2023_Aston Martin Lagonda, 190345.69380157362320460379123687744140625000
2024_Aston Martin Lagonda, 190947.69729770490084774792194366455078125000
2025_Aston Martin Lagonda, 190491.28150966120301745831966400146484375000
2026_Aston Martin Lagonda, 191337.17478168217348866164684295654296875000
2027_Aston Martin Lagonda, 192747.86306674935622140765190124511718750000
2028_Aston Martin Lagonda, 192019.16008794328081421554088592529296875000
2029_Aston Martin Lagonda, 192057.70086578131304122507572174072265625000
2030_Aston Martin Lagonda, 192185.67540907251532189548015594482421875000
2031_Aston Martin Lagonda, 192196.02904443460283800959587097167968750000
2032_Aston Martin Lagonda, 192336.14609453681623563170433044433593750000
2033_Aston Martin Lagonda, 192445.86228943537571467459201812744140625000
2034_Aston Martin Lagonda, 192461.07159412134205922484397888183593750000
2035_Aston Martin Lagonda, 192553.65463882559561170637607574462890625000
2036_Aston Martin Lagonda, 192579.66584649196011014282703399658203125000
2037_Aston Martin Lagonda, 192528.16657916482654400169849395751953125000
2038_Aston Martin Lagonda, 192579.41503859256044961512088775634765625000
2039_Aston Martin Lagonda, 192696.05630327438120730221271514892578125000
2040_Aston Martin Lagonda, 192494.19189104225370101630687713623046875000
2041_Aston Martin Lagonda, 192469.36389133968623355031013488769531250000
2042_Aston Martin Lagonda, 192186.66649242036510258913040161132812500000
2043_Aston Martin Lagonda, 192236.91911102808080613613128662109375000000
2044_Aston Martin Lagonda, 192376.11434908298542723059654235839843750000
2045_Aston Martin Lagonda, 192135.63751799435704015195369720458984375000
2046_Aston Martin Lagonda, 192525.54237114379066042602062225341796875000
2047_Aston Martin Lagonda, 192164.02995320997433736920356750488281250000
2048_Aston Martin Lagonda, 192297.67127970000728964805603027343750000000
2049_Aston Martin Lagonda, 192231.81786808627657592296600341796875000000
2050_Aston Martin Lagonda, 192173.25535555643728002905845642089843750000
2051_Aston Martin Lagonda, 192159.79613518851692788302898406982421875000
2052_Aston Martin Lagonda, 191996.85147344050346873700618743896484375000
2053_Aston Martin Lagonda, 192175.70065793147659860551357269287109375000
2054_Aston Martin Lagonda, 192008.67855512636015191674232482910156250000
2055_Aston Martin Lagonda, 192147.91200312576256692409515380859375000000
2023_BMW, 76264.73391114096739329397678375244140625000
2024_BMW, 72253.96770885732257738709449768066406250000
2025_BMW, 62848.32256886279355967417359352111816406250
2026_BMW, 62982.87170333274116273969411849975585937500
2027_BMW, 63986.36184441284422064200043678283691406250
2028_BMW, 63701.75534986620186828076839447021484375000
2029_BMW, 63668.57443900758516974747180938720703125000
2030_BMW, 63722.53445450277649797499179840087890625000
2031_BMW, 63495.43119191969162784516811370849609375000
2032_BMW, 63445.48235607509559486061334609985351562500
2033_BMW, 63349.36519476871035294607281684875488281250
2034_BMW, 62969.49905325787403853610157966613769531250
2035_BMW, 62967.87008457740012090653181076049804687500
2036_BMW, 63031.88589243104797787964344024658203125000
2037_BMW, 62843.56546453725604806095361709594726562500
2038_BMW, 62834.69360425951163051649928092956542968750
2039_BMW, 62768.48021404255996458232402801513671875000
2040_BMW, 62735.15199735645001055672764778137207031250
2041_BMW, 62737.79503956493135774508118629455566406250
2042_BMW, 62684.74435962422285228967666625976562500000
2043_BMW, 62376.80925528982334071770310401916503906250
2044_BMW, 62467.57739149695407832041382789611816406250
2045_BMW, 62542.34391555400361539795994758605957031250
2046_BMW, 62505.69975772373436484485864639282226562500
